学年	英単語	品詞	正解の意味	学年の根拠
1	a	冠詞	1つの	小学校語彙
未確認	able	形容詞	…することができる	未確認
1	about	前置詞	…について	中学1年
2	according	副詞	…によれば	中学2年
3	action	名詞	アクション	中学3年
1	active	形容詞	活動的な	小学校語彙
1	activity	名詞	活動	小学校語彙
3	addition	名詞	足し算	中学3年
3	advantage	名詞	有利	中学3年
未確認	Afghanistan	名詞	アフガニスタン	未確認
2	afraid	形容詞	こわがって	中学2年
1	Africa	名詞	アフリカ	中学1年
1	African	形容詞	アフリカの	中学1年
1	after	前置詞	…のあとに	中学1年
1	again	副詞	もう一度	中学1年
2	against	前置詞	…に反対して	中学2年
2	ago	副詞	…前に	中学2年
2	agree	動詞	賛成する	中学2年
3	air	名詞	空気	中学3年
2	alive	形容詞	生きて	中学2年
1	all	代名詞	全部	小学校語彙
2	almost	副詞	ほとんど	中学2年
1	alone	形容詞	ひとりだけの	中学1年
1	along	前置詞	…に沿って	中学1年
3	already	副詞	すでに	中学3年
1	also	副詞	…もまた	中学1年
3	although	接続詞	…だけれども	中学3年
1	am	動詞	〜です	小学校語彙
1	a.m.	副詞	午前	小学校語彙
3	amazing	形容詞	驚くべき	中学3年
1	America	名詞	アメリカ	中学1年
2	American	形容詞	アメリカの	中学2年
2	among	前置詞	…の中で	中学2年
2	amount	名詞	量	中学2年
未確認	an	冠詞	1つの	未確認
2	ancient	形容詞	古代の	中学2年
1	and	接続詞	〜と…	小学校語彙
未確認	angry	形容詞	怒った	未確認
未確認	animal-free	形容詞	動物性原料を含んでいない	未確認
3	animation	名詞	アニメーション	中学3年
1	anime	名詞	アニメ	中学1年
3	announce	動詞	…を発表する	中学3年
1	another	形容詞	ほかの	中学1年
2	answer	動詞	…に答える	中学2年
1	ant	名詞	アリ	小学校語彙
1	any	形容詞	いくらかの	中学1年
3	anymore	副詞	今ではもう…	中学3年
1	anyone	代名詞	だれでも	中学1年
1	anything	代名詞	何か	中学1年
1	anyway	副詞	とにかく	中学1年
1	apple	名詞	リンゴ	小学校語彙
1	April	名詞	4月	小学校語彙
1	apron	名詞	エプロン	小学校語彙
1	are	動詞	〜です	小学校語彙
2	area	名詞	区域	中学2年
1	arm	名詞	腕	小学校語彙
1	around	前置詞	…の近くに	中学1年
1	art	名詞	芸術	小学校語彙
3	article	名詞	記事	中学3年
2	artificial	形容詞	人工の	中学2年
1	artist	名詞	芸術家	小学校語彙
3	art school	名詞	美術学校	中学3年
1	as	前置詞	…として	中学1年
3	Asian	形容詞	アジアの	中学3年
2	ask	動詞	…にたのむ	中学2年
1	astronaut	名詞	宇宙飛行士	小学校語彙
1	at	前置詞	〜で	小学校語彙
1	ate	動詞	「eat」の過去形	小学校語彙
2	attract	動詞	をひきつける	中学2年
2	attracted	形容詞	ひきつけられる	中学2年
1	August	名詞	8月	小学校語彙
1	aunt	名詞	おば	小学校語彙
3	author	名詞	著者	中学3年
1	autumn	名詞	秋	小学校語彙
2	away	動詞	はなれて	中学2年
3	Azerbaijan	名詞	アゼルバイジャン	中学3年
未確認	baby	名詞	赤ん坊	未確認
1	back	副詞	戻って	中学1年
3	backpack	名詞	バックパック	中学3年
1	bacon	名詞	ベーコン	小学校語彙
1	badminton	名詞	バドミントン	小学校語彙
1	bag	名詞	かばん	小学校語彙
1	bake	動詞	を焼く	小学校語彙
1	baker	名詞	パン焼き職人	小学校語彙
1	ball	名詞	ボール	小学校語彙
3	ban	動詞	…を禁止する	中学3年
1	banana	名詞	バナナ	小学校語彙
1	bang	名詞	バン	中学1年
未確認	barrier	名詞	壁	未確認
1	baseball	名詞	野球	小学校語彙
未確認	-based	形容詞	〜に基づいた	未確認
1	basket	名詞	かご	小学校語彙
1	basketball	名詞	バスケットボール	小学校語彙
1	bat	名詞	バット	小学校語彙
1	bath	名詞	入浴	小学校語彙
3	battery	名詞	電池	中学3年
1	be	動詞	…である	中学1年
1	bean	名詞	豆	小学校語彙
1	bear	名詞	クマ	小学校語彙
1	beat	動詞	どきどきする	中学1年
2	beauty	名詞	美しさ	中学2年
2	became	動詞	「become」の過去形	中学2年
2	because	接続詞	〜なので	中学2年
1	bed	名詞	ベッド	小学校語彙
1	beef	名詞	牛肉	小学校語彙
未確認	been	動詞・助動詞	「be」の過去分詞	未確認
1	before	前置詞	…の前に	中学1年
2	began	動詞	「begin」の過去形	中学2年
2	begin	動詞	…を始める	中学2年
3	beginning	名詞	最初の部分	中学3年
1	behind	前置詞	…の後ろに	中学1年
3	believe	動詞	…だと思う	中学3年
2	bell	名詞	ベルや鈴	中学2年
2	belong	動詞	…に所属する	中学2年
1	bench	名詞	ベンチ	小学校語彙
2	berry	名詞	ベリー	中学2年
1	best	名詞	最もよいもの	中学1年
未確認	bestseller	名詞	ベストセラー	未確認
2	better	副詞	よりよく	中学2年
3	between	前置詞	…の間で	中学3年
3	beyond	前置詞	〜を越えて	中学3年
3	bicycle	名詞	自転車	中学3年
1	big	形容詞	重要な	小学校語彙
1	bike	名詞	自転車	小学校語彙
2	bill	名詞	請求書	中学2年
1	birthday	名詞	誕生日	小学校語彙
1	bitter	形容詞	苦い	小学校語彙
1	black	名詞・形容詞	黒	小学校語彙
1	blog	名詞	ブログ	中学1年
1	blue	名詞・形容詞	青	小学校語彙
1	board game	名詞	ボードゲーム	中学1年
1	body	名詞	体	小学校語彙
3	bomb	名詞	爆弾	中学3年
1	book	名詞	本	小学校語彙
1	bookstore	名詞	書店	小学校語彙
3	born	動詞	生まれた	中学3年
2	both	接続詞	…も～も両方	中学2年
3	bother	名詞	面倒	中学3年
未確認	bottle	名詞	びん	未確認
1	bought	動詞	「buy」の過去形	中学1年
1	box	名詞	箱	小学校語彙
1	boy	名詞	男の子	小学校語彙
1	brass band	名詞	ブラスバンド	小学校語彙
3	Brazil	名詞	ブラジル	中学3年
1	bread	名詞	パン	小学校語彙
1	break	名詞	休憩	中学1年
1	breakfast	名詞	朝食	小学校語彙
3	bright	形容詞	明るい	中学3年
3	British	形容詞	イギリスの	中学3年
1	brought	動詞	「bring」の過去形	中学1年
1	brown	名詞・形容詞	茶色	小学校語彙
1	brush	動詞	…をみがく	小学校語彙
未確認	build	動詞	…を建てる	未確認
2	built	動詞	「build」の過去分詞	中学2年
2	burn	動詞	…を燃やす	中学2年
1	bus	名詞	バス	小学校語彙
1	bus stop	名詞	バス停	小学校語彙
1	but	接続詞	しかし	中学1年
2	butter	名詞	バター	中学2年
1	butterfly	名詞	チョウ	小学校語彙
1	by	前置詞	…によって	小学校語彙
2	cabbage	名詞	キャベツ	中学2年
未確認	cafe	名詞	喫茶店	未確認
1	cake	名詞	ケーキ	小学校語彙
1	call	動詞	…を呼ぶ	中学1年
1	came	動詞	「come」の過去形	中学1年
1	camel	名詞	ラクダ	小学校語彙
1	camera	名詞	カメラ	小学校語彙
未確認	camp	動詞	キャンプをする	未確認
2	campaign	名詞	キャンペーン	中学2年
1	campground	名詞	キャンプ場	中学1年
1	camping	名詞	キャンプ	小学校語彙
1	can	助動詞	〜できる	小学校語彙
1	Canada	名詞	カナダ	中学1年
2	candle	名詞	ろうそく	中学2年
2	candy	名詞	キャンディー	中学2年
1	cannot	助動詞	〜できない	中学1年
1	cap	名詞	帽子	小学校語彙
1	car	名詞	車	小学校語彙
1	card	名詞	カード	小学校語彙
未確認	care	名詞	世話	未確認
2	carefully	副詞	注意深く	中学2年
2	carry	動詞	…を運ぶ	中学2年
1	cart	名詞	カート	中学1年
未確認	castanets	名詞	カスタネット	未確認
未確認	casual	形容詞	カジュアルな	未確認
1	cat	名詞	ネコ	小学校語彙
1	catch	動詞	…を捕まえる	小学校語彙
3	categorize	動詞	…を分類する	中学3年
2	caterpillar	名詞	イモムシ	中学2年
3	caught	動詞	「catch」の過去形・過去分詞	中学3年
2	cause	動詞	原因	中学2年
2	center	名詞	中心地	中学2年
1	chair	名詞	いす	小学校語彙
3	chance	名詞	機会	中学3年
2	change	動詞	変わる	中学2年
3	charge	動詞	…を充電する	中学3年
1	charm	名詞	お守り	中学1年
3	chart	名詞	図表	中学3年
3	cheap	形容詞	安い	中学3年
2	check	動詞	…を調べる	中学2年
1	cheer	動詞	…を元気づける	中学1年
1	cheese	名詞	チーズ	小学校語彙
3	cheetah	名詞	チーター	中学3年
2	chef	名詞	シェフ	中学2年
1	cherry	名詞	さくらんぼ	小学校語彙
