学年	単元	英単語	品詞	正解の意味
1	1	love	動詞	大好きである
1	1	meet	動詞	会う
1	1	sweet	形容詞	甘い
1	1	join	動詞	参加する
1	1	club	名詞	部活動
1	1	often	副詞	よく、たびたび
1	1	watch	動詞	じっと見る
1	1	friend	名詞	友達
1	1	great	形容詞	すばらしい
1	1	draw	動詞	絵を描く
1	1	lesson	名詞	授業
1	1	comic	名詞	漫画
1	1	strong	形容詞	強い
1	1	clock	名詞	時計
1	1	lake	名詞	湖
1	2	class	名詞	学級
1	2	new	形容詞	新しい
1	2	teacher	名詞	先生
1	2	cool	形容詞	かっこいい
1	2	parent	名詞	親
1	2	food	名詞	食べ物
1	2	father	名詞	父
1	2	make	動詞	作る
1	2	read	動詞	読む
1	2	bird	名詞	鳥
1	2	fruit	名詞	果物
1	2	season	名詞	季節
1	2	beach	名詞	砂浜
1	2	textbook	名詞	教科書
1	2	drink	動詞	飲む
1	3	symbol	名詞	象徴
1	3	interesting	形容詞	おもしろい
1	3	favorite	形容詞	いちばん好きな
1	3	character	名詞	登場人物
1	3	family	名詞	家族
1	3	brave	形容詞	勇敢な
1	3	kind	形容詞	親切な
1	3	study	動詞	勉強する
1	3	week	名詞	週
1	3	hallway	名詞	廊下
1	3	station	名詞	駅
1	3	month	名詞	月（ひと月）
1	3	town	名詞	町
1	3	sound	名詞	音
1	3	enjoy	動詞	楽しむ
1	4	puppy	名詞	子犬
1	4	animal	名詞	動物
1	4	visit	動詞	訪れる
1	4	noon	名詞	正午
1	4	afternoon	名詞	午後
1	4	nervous	形容詞	緊張した
1	4	worry	動詞	心配する
1	4	sheep	名詞	羊
1	4	gift	名詞	贈り物
1	4	picture	名詞	絵、写真
1	4	kitchen	名詞	台所
1	4	age	名詞	年齢
1	4	movie	名詞	映画
1	4	famous	形容詞	有名な
1	4	subject	名詞	教科
1	5	tour	名詞	見学旅行
1	5	guide	名詞	案内人
1	5	write	動詞	書く
1	5	local	形容詞	地元の
1	5	beautiful	形容詞	美しい
1	5	spot	名詞	場所、地点
1	5	brother	名詞	兄、弟
1	5	work	動詞	働く
1	5	nature	名詞	自然
1	5	life	名詞	生活、人生
1	5	question	名詞	質問
1	5	weekend	名詞	週末
1	5	dolphin	名詞	イルカ
1	5	popular	形容詞	人気のある
1	5	owner	名詞	所有者
1	6	say	動詞	言う
1	6	everything	代名詞	すべてのもの
1	6	performer	名詞	演者
1	6	together	副詞	いっしょに
1	6	minute	名詞	分（時間の単位）
1	6	wait	動詞	待つ
1	6	careful	形容詞	注意深い
1	6	crowded	形容詞	混み合った
1	6	history	名詞	歴史
1	6	ticket	名詞	切符
1	6	open	動詞	開ける
1	6	close	動詞	閉める
1	6	borrow	動詞	借りる
1	6	homework	名詞	宿題
1	6	dark	形容詞	暗い
1	7	tomorrow	副詞	明日
1	7	plan	名詞	計画
1	7	free	形容詞	ひまな
1	7	busy	形容詞	忙しい
1	7	market	名詞	市場
1	7	souvenir	名詞	お土産
1	7	place	名詞	場所
1	7	appear	動詞	現れる
1	7	buy	動詞	買う
1	7	people	名詞	人々
1	7	street	名詞	通り
1	7	straight	副詞	まっすぐに
1	7	factory	名詞	工場
1	7	building	名詞	建物
1	7	hospital	名詞	病院
1	8	volunteer	名詞	ボランティア
1	8	need	動詞	必要とする
1	8	respect	動詞	尊敬する
1	8	become	動詞	〜になる
1	8	cousin	名詞	いとこ
1	8	country	名詞	国
1	8	always	副詞	いつも
1	8	reduce	動詞	減らす
1	8	waste	名詞	むだ、廃棄物
1	8	plastic	名詞	プラスチック
1	8	paper	名詞	紙
1	8	reusable	形容詞	再使用できる
1	8	meat	名詞	肉
1	8	voice	名詞	声
1	8	performance	名詞	公演
1	9	during	前置詞	〜の間に
1	9	stay	動詞	滞在する
1	9	relax	動詞	くつろぐ
1	9	vacation	名詞	休暇
1	9	mountain	名詞	山
1	9	traditional	形容詞	伝統的な
1	9	grandparent	名詞	祖父、祖母
1	9	future	名詞	未来
1	9	bad	形容詞	悪い
1	9	outside	副詞	外で
1	9	hotel	名詞	ホテル
1	9	wooden	形容詞	木製の
1	9	wish	名詞	願い
1	9	snowboarding	名詞	スノーボードをすること
1	9	miss	動詞	いなくてさびしく思う
1	10	remember	動詞	覚えている
1	10	bored	形容詞	退屈した
1	10	mistake	名詞	間違い
1	10	chorus	名詞	合唱
1	10	contest	名詞	競技会
1	10	memory	名詞	思い出
1	10	bring	動詞	持ってくる
1	10	heart	名詞	心臓、心
1	10	album	名詞	アルバム
1	10	yesterday	副詞	昨日
1	10	tent	名詞	テント
1	10	campfire	名詞	キャンプファイヤー
1	10	medicine	名詞	薬
1	10	neighbor	名詞	近所の人
1	10	receive	動詞	受け取る
2	1	same	形容詞	同じ
2	1	experience	名詞	経験
2	1	actually	副詞	実は
2	1	flight	名詞	飛行、航空便
2	1	arrive	動詞	到着する
2	1	airport	名詞	空港
2	1	soon	副詞	まもなく
2	1	excited	形容詞	わくわくした
2	1	reservation	名詞	予約
2	1	tall	形容詞	背が高い
2	1	weigh	動詞	〜の重さがある
2	1	language	名詞	言語
2	1	example	名詞	例
2	1	communicate	動詞	意思を伝え合う
2	1	culture	名詞	文化
2	2	especially	副詞	特に
2	2	order	動詞	注文する
2	2	various	形容詞	さまざまな
2	2	flavor	名詞	風味
2	2	salt	名詞	塩
2	2	speech	名詞	スピーチ
2	2	add	動詞	加える
2	2	forget	動詞	忘れる
2	2	thick	形容詞	厚い
2	2	recommend	動詞	すすめる
2	2	manufacturer	名詞	製造業者
2	2	reflect	動詞	反映する
2	2	climate	名詞	気候
2	2	creativity	名詞	創造力
2	2	foreign	形容詞	外国の
2	3	career	名詞	職業、経歴
2	3	information	名詞	情報
2	3	international	形容詞	国際的な
2	3	own	形容詞	自分自身の
2	3	choose	動詞	選ぶ
2	3	colorful	形容詞	色とりどりの
2	3	illustration	名詞	挿絵
2	3	teach	動詞	教える
2	3	important	形容詞	重要な
2	3	learn	動詞	学ぶ
2	3	necessary	形容詞	必要な
2	3	adjust	動詞	調整する
2	3	difficult	形容詞	難しい
2	3	clearly	副詞	はっきりと
2	3	understand	動詞	理解する
2	4	advice	名詞	助言
2	4	member	名詞	一員
2	4	guest	名詞	客
2	4	follow	動詞	従う
2	4	rule	名詞	規則
2	4	host	名詞	受け入れ側の人
2	4	perfect	形容詞	完璧な
2	4	limit	名詞	制限
2	4	elderly	形容詞	年配の
2	4	couple	名詞	夫婦、二人組
2	4	finish	動詞	終える
2	4	plate	名詞	皿
2	4	hurt	動詞	傷つける
2	4	explain	動詞	説明する
2	4	precious	形容詞	大切な
2	5	universal	形容詞	すべての人に共通の
2	5	design	名詞	設計、デザイン
2	5	automatic	形容詞	自動の
2	5	adjustable	形容詞	調整できる
2	5	public	形容詞	公共の
2	5	product	名詞	製品
2	5	facility	名詞	施設
2	5	useful	形容詞	役に立つ
2	5	sign	名詞	標識
2	5	wheelchair	名詞	車いす
2	5	baggage	名詞	手荷物
2	5	professor	名詞	大学教授
2	5	remove	動詞	取り除く
2	5	ability	名詞	能力
2	5	accessible	形容詞	利用しやすい
2	6	survey	名詞	調査
2	6	strategy	名詞	戦略
2	6	skill	名詞	技能
2	6	graph	名詞	グラフ
2	6	percent	名詞	パーセント
2	6	conclusion	名詞	結論
2	6	half	名詞	半分
2	6	feedback	名詞	意見、反応
2	6	speaker	名詞	話し手
2	6	content	名詞	内容
2	6	delivery	名詞	話し方、伝え方
2	6	topic	名詞	話題
2	6	unique	形容詞	独特な
2	6	earn	動詞	稼ぐ
2	6	kindness	名詞	親切
2	7	select	動詞	選ぶ
2	7	heritage	名詞	遺産
2	7	natural	形容詞	自然の
2	7	cultural	形容詞	文化の
2	7	standard	名詞	基準
2	7	region	名詞	地域
2	7	diversity	名詞	多様性
2	7	species	名詞	種（生物の分類）
2	7	architecture	名詞	建築
2	7	material	名詞	材料
2	7	pollution	名詞	汚染
2	7	government	名詞	政府
2	7	protect	動詞	守る
2	7	environment	名詞	環境
2	7	value	名詞	価値
3	1	discover	動詞	発見する
3	1	finally	副詞	ついに
3	1	actor	名詞	俳優
3	1	fashion	名詞	流行、ファッション
3	1	foreigner	名詞	外国人
3	1	genre	名詞	分野、ジャンル
3	1	adventure	名詞	冒険
3	1	adult	名詞	大人
3	1	quality	名詞	質
3	1	delicate	形容詞	繊細な
3	1	positive	形容詞	前向きな
3	1	ignore	動詞	無視する
3	1	existence	名詞	存在
3	1	express	動詞	表現する
3	1	influence	名詞	影響
3	2	accessory	名詞	装身具、アクセサリー
3	2	recycle	動詞	再生利用する
3	2	impact	名詞	影響、衝撃
3	2	since	前置詞	〜以来
3	2	introduce	動詞	紹介する
3	2	clothing	名詞	衣類
3	2	company	名詞	会社
3	2	chemical	名詞	化学物質
3	2	negative	形容詞	否定的な
3	2	include	動詞	含む
3	2	avoid	動詞	避ける
3	2	wool	名詞	羊毛
3	2	fur	名詞	毛皮
3	2	condition	名詞	状態、条件
3	2	wage	名詞	賃金
3	3	danger	名詞	危険
3	3	extinction	名詞	絶滅
3	3	challenge	名詞	課題、挑戦
3	3	human	形容詞	人間の
3	3	endangered	形容詞	絶滅の危機にある
3	3	survive	動詞	生き残る
3	3	population	名詞	人口、個体数
3	3	rapidly	副詞	急速に
3	3	century	名詞	世紀
3	3	research	名詞	研究、調査
3	3	ecosystem	名詞	生態系
3	3	breed	動詞	繁殖させる
3	3	release	動詞	放す
3	3	injure	動詞	けがをさせる
3	3	peace	名詞	平和
3	4	disaster	名詞	災害
3	4	shelter	名詞	避難所
3	4	store	動詞	蓄える
3	4	case	名詞	場合
3	4	emergency	名詞	緊急事態
3	4	earthquake	名詞	地震
3	4	several	形容詞	いくつかの
3	4	bridge	名詞	橋
3	4	energetic	形容詞	活力のある
3	4	encourage	動詞	励ます
3	4	comfort	動詞	慰める
3	4	nearby	副詞	近くに
3	4	apartment	名詞	アパート
3	4	sudden	形容詞	突然の
3	4	support	動詞	支える
3	5	leader	名詞	指導者
3	5	violence	名詞	暴力
3	5	independence	名詞	独立
3	5	fight	動詞	戦う
3	5	protest	動詞	抗議する
3	5	tough	形容詞	困難な
3	5	lawyer	名詞	弁護士
3	5	discrimination	名詞	差別
3	5	accept	動詞	受け入れる
3	5	unfair	形容詞	不公平な
3	5	arrest	動詞	逮捕する
3	5	effective	形容詞	効果的な
3	5	tax	名詞	税金
3	5	follower	名詞	支持者
3	5	legacy	名詞	後世に残したもの
3	6	overseas	副詞	海外へ
3	6	unused	形容詞	使われていない
3	6	supply	名詞	必需品、供給品
3	6	abroad	副詞	外国へ
3	6	donate	動詞	寄付する
3	6	definitely	副詞	確かに
3	6	imagine	動詞	想像する
3	6	illiterate	形容詞	読み書きのできない
3	6	globe	名詞	地球
3	6	border	名詞	国境
3	6	depend	動詞	頼る
