No.,単語,備考
1,a,
2,ability,
3,able,
4,about,
5,abroad,
6,accept,
7,accessible,
8,accessory,
9,according,
10,action,
11,active,
12,activity,
13,actor,
14,actually,
15,add,
16,addition,
17,adjust,
18,adjustable,
19,adult,
20,advantage,
21,adventure,
22,advice,
23,Afghanistan,
24,afraid,
25,Africa,
26,African,
27,after,
28,afternoon,
29,again,
30,against,
31,age,
32,ago,
33,agree,
34,air,
35,airport,
36,album,
37,alive,
38,all,
39,almost,
40,alone,
41,along,
42,already,
43,also,
44,although,
45,always,
46,am,
47,a.m.,
48,amazing,
49,America,
50,American,
51,among,
52,amount,
53,an,
54,ancient,
55,and,
56,angry,
57,animal,
58,animal-free,
59,animation,
60,anime,
61,announce,
62,another,
63,answer,
64,ant,
65,any,
66,anymore,
67,anyone,
68,anything,
69,anyway,
70,apartment,
71,appear,
72,apple,
73,April,
74,apron,
75,architecture,
76,are,
77,area,
78,arm,
79,around,
80,arrest,
81,arrive,
82,art,
83,article,
84,artificial,
85,artist,
86,art school,
87,as,
88,Asian,
89,ask,
90,astronaut,
91,at,
92,ate,
93,attract,
94,attracted,
95,August,
96,aunt,
97,author,
98,automatic,
99,autumn,
100,avoid,
101,away,
102,Azerbaijan,
103,baby,
104,back,
105,backpack,
106,bacon,
107,bad,
108,badminton,
109,bag,
110,baggage,
111,bake,
112,baker,
113,ball,
114,ban,
115,banana,
116,bang,
117,barrier,
118,baseball,
119,-based,
120,basket,
121,basketball,
122,bat,
123,bath,
124,battery,
125,be,
126,beach,
127,bean,
128,bear,
129,beat,
130,beautiful,
131,beauty,
132,became,
133,because,
134,become,現在形
135,become,過去分詞
136,bed,
137,beef,
138,been,
139,before,
140,began,
141,begin,
142,beginning,
143,behind,
144,believe,
145,bell,
146,belong,
147,bench,
148,berry,
149,best,
150,bestseller,
151,better,
152,between,
153,beyond,
154,bicycle,
155,big,
156,bike,
157,bill,
158,bird,
159,birthday,
160,bitter,
161,black,
162,blog,
163,blue,
164,board game,
165,body,
166,bomb,
167,book,
168,bookstore,
169,border,
170,bored,
171,born,
172,borrow,
173,both,
174,bother,
175,bottle,
176,bought,
177,box,
178,boy,
179,brass band,
180,brave,
181,Brazil,
182,bread,
183,break,
184,breakfast,
185,breed,
186,bridge,
187,bright,
188,bring,
189,British,
190,brother,
191,brought,
192,brown,
193,brush,
194,build,
195,building,
196,built,
197,burn,
198,bus,
199,bus stop,
200,busy,
201,but,
202,butter,
203,butterfly,
204,buy,
205,by,
206,cabbage,
207,cafe,
208,cake,
209,call,
210,came,
211,camel,
212,camera,
213,camp,
214,campaign,
215,campfire,
216,campground,
217,camping,
218,can,
219,Canada,
220,candle,
221,candy,
222,cannot,
223,cap,
224,car,
225,card,
226,care,
227,career,
228,careful,
229,carefully,
230,carry,
231,cart,
232,case,
233,castanets,
234,casual,
235,cat,
236,catch,
237,categorize,
238,caterpillar,
239,caught,
240,cause,
241,center,
242,century,
243,chair,
244,challenge,
245,chance,
246,change,
247,character,
248,charge,
249,charm,
250,chart,
251,cheap,
252,check,
253,cheer,
254,cheese,
255,cheetah,
256,chef,
257,chemical,
258,cherry,
259,chestnut,
260,chicken,
261,child,
262,childhood,
263,children,
264,Children's Day,
265,China,
266,Chinese,
267,chocolate,
268,choose,
269,chopstick,
270,chorus,
271,chose,
272,chosen,
273,Christmas,
274,Christmas Day,
275,circle,
276,citizen,
277,city,
278,city hall,
279,clap,
280,class,
281,classmate,
282,classroom,
283,clean,
284,cleanup,
285,clear,
286,clearly,
287,clerk,
288,climate,
289,climb,
290,clock,
291,close,
292,cloth,
293,clothes,
294,clothing,
295,cloud,
296,cloudless,
297,cloudy,
298,club,
299,coal,
300,coat,
301,coffee,
302,coin,
303,cold,
304,collect,
305,collection,
306,colony,
307,color,
308,colorful,
309,colorfulness,
310,colorless,
311,comb,
312,come,
313,comedian,
314,comfort,
315,comic,
316,comment,
317,common,
318,communicate,
319,company,
320,computer,
321,concern,
322,concert,
323,conclusion,
324,condition,
325,conference,
326,connect,
327,consumer,
328,contact,
329,content,
330,contest,
331,continue,
332,control,
333,convenience,
334,convenient,
335,cook,
336,cookie,
337,cooking,
338,cool,
339,corn,
340,corner,
341,could,
342,count,
343,country,
344,countryside,
345,couple,
346,courage,
347,course,
348,court,
349,cousin,
350,cover,
351,cow,
352,crater,
353,crayon,
354,create,
355,creativity,
356,creep,
357,crept,
358,crime,
359,crisis,
360,crispy,
361,critically,
362,cross,
363,crowded,
364,cry,
365,cultural,
366,culture,
367,cup,
368,curling,
369,curry,
370,cushion,
371,customer,
372,cut,現在形
373,cut,過去分詞
374,cute,
375,dad,
376,daily,
377,dam,
378,damage,
379,dance,
380,dancing,
381,danger,
382,dangerous,
383,dark,
384,data,
385,date,
386,daughter,
387,day,
388,dead,
389,dear,
390,death,
391,debate,
392,December,
393,decide,
394,decision,
395,decrease,
396,definitely,
397,delicate,
398,delicious,
399,deliver,
400,delivery,
401,Denmark,
402,depend,
403,design,
404,designer,
405,desk,
406,dessert,
407,destroy,
408,develop,
409,developing,
410,device,
411,dictionary,
412,did,
413,die,
414,different,
415,difficult,
416,dinner,
417,direction,
418,disabled,
419,disagree,
420,disappear,
421,disaster,
422,discover,
423,discrimination,
424,discussion,
425,dish,
426,diversity,
427,do,
428,doctor,
429,dodgeball,
430,does,
431,dog,
432,dollar,
433,Dolls' Festival,
434,dolphin,
435,dome,
436,donate,
437,done,
438,donut,
439,door,
440,door-to-door,
441,down,
442,drama,
443,draw,
444,drawing,
